Date Range,Algorithm,Subfolder,CSV File,By Type,Buy Trade Count,Strong Buy Trade Count,Total Trades,Buy Win Rate (%),Strong Buy Win Rate (%),Overall Win Rate (%),Total Profit Buy (%),Total Profit Strong Buy (%),Avg Profit Buy (%),Avg Profit Strong Buy (%),Max Profit Buy (%),Min Profit Buy (%),Max Profit Strong Buy (%),Min Profit Strong Buy (%),Mean Buy,Volatility Buy,Relative Volatility Buy (%),Mean Strong Buy,Volatility Strong Buy,Relative Volatility Strong Buy (%),Overall Profit (%),Overall Max Profit (%),Overall Min Profit (%),Overall Mean,Overall Volatility,Overall Relative Volatility (%),Avg Holding Period (Days),Trade Frequency (Trades per Month),Time-Weighted Returns (%)
2022-11-01-2023-11-01,Dimbeta,Europe_assets,CAPT_DimBeta_signals.csv,Unknown,24,3,27,25.0,33.33333333333333,25.925925925925924,-13.222039958451317,-21.746920636716524,-0.5509183316021382,-7.248973545572174,0.4844979865642637,-13.165264634826887,0.19704885236801573,-12.962968032219358,10.50416668256124,0.14971965601052323,1.4253358741829958,7.113333225250244,2.153142209581452,30.26910368740254,-34.96896059516784,0.4844979865642637,-13.165264634826887,10.127407409526684,1.2925243502847215,12.762638037735751,5.62962962962963,2.4179104477611943,-0.3111689598080457
2022-11-01-2023-11-01,Dimbeta,Europe_assets,CRH_DimBeta_signals.csv,Unknown,11,10,21,54.54545454545454,20.0,38.095238095238095,2.8161549347004935,1.0067378047384345,0.2560140849727721,0.10067378047384345,8.31099183247534,-7.411048824301593,10.579450449445732,-2.7641396824304514,48.941817890514024,5.727268651212899,11.702198443108847,53.252000427246095,3.3598980802429743,6.309430731777545,3.8228927394389283,10.579450449445732,-7.411048824301593,50.99428576514835,5.2145329993431275,10.22572023727992,7.0476190476190474,1.956521739130435,0.023877436297907728
2022-11-01-2023-11-01,Dimbeta,Europe_assets,CSTM_DimBeta_signals.csv,Unknown,9,15,24,33.33333333333333,13.333333333333334,20.833333333333336,-7.318371807037092,-11.520942069254367,-0.8131524230041214,-0.7680628046169579,2.787464975174007,-5.943773353052306,22.49368240973818,-6.382984202955002,16.117777506510418,1.637795015624275,10.161419680614925,15.038666661580404,2.269002289191582,15.087788965947691,-18.83931387629146,22.49368240973818,-6.382984202955002,15.44333322842916,2.120506274623168,13.730884668858875,6.916666666666667,2.155688622754491,-0.19991757937468613
2022-11-01-2023-11-01,Dimbeta,Europe_assets,GSM_DimBeta_signals.csv,Unknown,5,10,15,40.0,30.0,33.33333333333333,5.297885516522785,11.843736471320103,1.0595771033045571,1.1843736471320103,6.903763791242297,-3.254978270281466,20.971864839961672,-5.831532921227945,5.224000072479248,0.30780516121886153,5.892135469913592,4.679000115394592,0.393914953655142,8.418784867286162,17.14162198784289,20.971864839961672,-5.831532921227945,4.860666767756144,0.4483669011649397,9.22439086215988,9.533333333333333,1.3432835820895523,0.14710541296842594
2022-11-01-2023-11-01,Dimbeta,Europe_assets,JHX_DimBeta_signals.csv,Unknown,11,8,19,45.45454545454545,25.0,36.84210526315789,-4.713123503905208,18.79076382946083,-0.4284657730822916,2.3488454786826036,2.467728226138265,-4.349227904804626,24.209964859630073,-3.3285028555024665,26.14636369185014,2.9207949361720313,11.170941284972821,21.368749856948853,2.4730316490050797,11.573122740265877,14.07764032555562,24.209964859630073,-4.349227904804626,24.134736813996966,3.6163888528977064,14.98416527500883,8.789473684210526,1.7065868263473054,0.11244949615163602
2022-11-01-2023-11-01,Dimbeta,Europe_assets,OPRA_DimBeta_signals.csv,Unknown,19,7,26,36.84210526315789,0.0,26.923076923076923,18.65926992206938,-32.33186270901638,0.9820668380036516,-4.618837529859483,20.222928956960526,-13.45875093964295,-1.5026352865074721,-11.801242685699611,10.456842196615119,5.05973586469109,48.38684346148905,13.021428516932897,1.117962732667257,8.585561340013292,-13.672592786946996,20.222928956960526,-13.45875093964295,11.147307744392982,4.509864869035474,40.45698721562527,6.115384615384615,2.385321100917431,-0.19648142547770164
2022-11-01-2023-11-01,Dimbeta,Europe_assets,SPOT_DimBeta_signals.csv,Unknown,17,4,21,23.52941176470588,50.0,28.57142857142857,-6.355256748670583,39.690698573468964,-0.3738386322747402,9.922674643367241,7.194819484141379,-3.881496656447408,30.701865387409395,-6.992290781514743,144.60117564481848,15.226063267199414,10.529695349503205,91.55500221252441,23.656314410385416,25.83836364885076,33.33544182479838,30.701865387409395,-6.992290781514743,134.4971426100958,26.98439654843845,20.063174595958227,7.714285714285714,1.920731707317073,0.30071408688733325
2022-11-01-2023-11-01,Dimbeta,Europe_assets,TEF_DimBeta_signals.csv,Unknown,6,8,14,50.0,37.5,42.857142857142854,15.101959384406868,5.1238289766410645,2.516993230734478,0.6404786220801331,6.904761310067009,-0.5115084523652913,9.686607267609627,-6.009609873830707,3.9933332999547324,0.15552769680939646,3.8946835920547747,4.013749986886978,0.22315565471015442,5.559779643455859,20.225788361047933,9.686607267609627,-6.009609873830707,4.00499997820173,0.19729418320760858,4.926196860959657,11.428571428571429,1.3003095975232197,0.2084314881543501
2022-11-01-2023-11-01,Dimbeta,Europe_assets,VOD_DimBeta_signals.csv,Unknown,4,12,16,50.0,33.33333333333333,37.5,4.000895048095932,9.797006371718986,1.000223762023983,0.8164171976432488,3.8256255687895155,-1.8181839677106522,12.84585183236929,-4.859808536062677,11.770000219345093,0.3471313450378281,2.9492891976950464,9.912499904632568,0.708450400615486,7.147040680266685,13.797901419814918,12.84585183236929,-4.859808536062677,10.3768749833107,1.0263937652616983,9.891164410407416,11.5,1.437125748502994,0.12959685072464278
2022-11-01-2023-11-01,Dimbeta,Europe_assets,WPP_DimBeta_signals.csv,Unknown,4,12,16,50.0,16.666666666666664,25.0,1.0099673970081824,1.8008369877949866,0.2524918492520456,0.15006974898291556,2.012748715930776,-1.845428951866825,16.310637141260244,-3.0540877938591064,57.56500053405762,4.208363739951411,7.310629203350019,50.94916693369547,4.559790515496113,8.949686108568095,2.810804384803169,16.310637141260244,-3.0540877938591064,52.60312533378601,5.313010791305699,10.100180849698015,8.9375,1.4501510574018126,0.014033972428170616
